Property_ID,Price_KES,Location,Bedrooms,Bathrooms,Size_sqm,Scraped_Date,Date,USD_KES_Rate,CBR_Rate,Remittance_M_USD,CPI_Index
0151 Bed Apartment with En Suite at Kindaruma Road,10700000,Kilimani,1.0,1.0,112,2026-05-26,2026-05-26,129.532839,10,,
1153 Bed Apartment with En Suite in Westlands Area,29500000,"Westlands Area, Westlands",3.0,4.0,200,2026-05-26,2026-05-26,129.532839,10,,
0161 Bed Apartment with En Suite in Lavington1 Bed,4500000,Lavington,1.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0181 Bed Apartment with Swimming Pool at Off Nyang,9400000,Kilimani,1.0,1.0,59,2026-05-26,2026-05-26,129.532839,10,,
0152 Bed Apartment with Swimming Pool at Muthithi ,13000000,"Westlands Area, Westlands",2.0,2.0,108,2026-05-26,2026-05-26,129.532839,10,,
0144 Bed Apartment with En Suite in Kilimani4 Bed ,13000000,Kilimani,4.0,4.0,,2026-05-26,2026-05-26,129.532839,10,,
06Furnished 2 Bed Apartment with En Suite in Kilim,7500000,Kilimani,2.0,3.0,,2026-05-26,2026-05-26,129.532839,10,,
015Serviced 3 Bed Apartment with En Suite in Lavin,10000000,Lavington,3.0,4.0,,2026-05-26,2026-05-26,129.532839,10,,
Studio Apartment with Swimming Pool at Mogotio RdS,5800000,"Westlands Area, Westlands",,1.0,58,2026-05-26,2026-05-26,129.532839,10,,
4 Bed Apartment with En Suite in Ngong Road4 Bed A,26500000,"Executive Penthouse for Sale Off Ngong Road, Na...",4.0,5.0,259,2026-05-26,2026-05-26,129.532839,10,,
020Studio Apartment with Swimming Pool at Mogotio ,5800000,"Westlands Area, Westlands",,1.0,58,2026-05-26,2026-05-26,129.532839,10,,
0122 Bed Apartment with En Suite at Kileleshwa Are,8800000,2 bedroom apartment for sale in Kileleshwa,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0112 Bed Apartment with En Suite at Kileleshwa Are,8960000,2 bedroom apartment for sale in Kileleshwa,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0203 Bed Apartment with Swimming Pool at Off Nyang,18500000,Kilimani,3.0,3.0,163,2026-05-26,2026-05-26,129.532839,10,,
0123 Bed Apartment with Swimming Pool at Kirawa Ro,15000000,"Kitisuru, Westlands",3.0,,,2026-05-26,2026-05-26,129.532839,10,,
0152 Bed Apartment with Swimming Pool at Durham Ro,9500000,Kileleshwa,2.0,2.0,110,2026-05-26,2026-05-26,129.532839,10,,
092 Bed Apartment with Swimming Pool at Chania Ave,10800000,Kilimani,2.0,2.0,104,2026-05-26,2026-05-26,129.532839,10,,
0131 Bed Apartment with En Suite at Peponi Road1 B,6100000,"Westlands Area, Westlands",1.0,1.0,52,2026-05-26,2026-05-26,129.532839,10,,
061 Bed Apartment with Swimming Pool at Kindaruma ,6100000,Kilimani,1.0,1.0,60,2026-05-26,2026-05-26,129.532839,10,,
0103 Bed Apartment with Borehole at Mogotio Rd3 Be,16500000,"Westlands Area, Westlands",3.0,,,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with En Suite at Mombasa Road2 Bed,8000000,Nairobi,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0202 Bed Apartment with En Suite at Mombasa Road2 ,8000000,Nairobi,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0101 Bed Apartment with En Suite at Westlands Area,8500000,2 bedroom apartment for sale in Westlands,1.0,1.0,,2026-05-26,2026-05-26,129.532839,10,,
0102 Bed Apartment with En Suite at Westlands Area,8800000,2 bedroom apartment for sale in Westlands,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0172 Bed Apartment with En Suite at Kileleshwa Are,9500000,2 bedroom apartment for sale in Kileleshwa,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0151 Bed Apartment with Swimming Pool at Muthithi ,9000000,"Westlands Area, Westlands",1.0,1.0,78,2026-05-26,2026-05-26,129.532839,10,,
0161 Bed Apartment with En Suite at Mvuli Road1 Be,6200000,"Westlands Area, Westlands",1.0,1.0,55,2026-05-26,2026-05-26,129.532839,10,,
0131 Bed Apartment with Swimming Pool at Ngong Rd1,6000000,Kilimani,1.0,1.0,50,2026-05-26,2026-05-26,129.532839,10,,
0141 Bed Apartment with Swimming Pool at Westlands,9100000,"1 bedroom apartment for sale in Westlands, Nair...",1.0,1.0,56,2026-05-26,2026-05-26,129.532839,10,,
0192 Bed Apartment with Swimming Pool at Westlands,14150000,"2 bedroom apartment for sale in Westlands, Nair...",2.0,2.0,106,2026-05-26,2026-05-26,129.532839,10,,
1 Bed Apartment with En Suite at Riara Rd1 Bed Apa,5500000,Lavington,1.0,1.0,50,2026-05-26,2026-05-26,129.532839,10,,
0141 Bed Apartment with En Suite at Riara Rd1 Bed ,5500000,Lavington,1.0,1.0,50,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with Swimming Pool at Riara Rd2 Be,9500000,Lavington,2.0,2.0,84,2026-05-26,2026-05-26,129.532839,10,,
0142 Bed Apartment with Swimming Pool at Riara Rd2,9500000,Lavington,2.0,2.0,84,2026-05-26,2026-05-26,129.532839,10,,
3 Bed Apartment with Swimming Pool at Riara Rd3 Be,13500000,Lavington,3.0,3.0,120,2026-05-26,2026-05-26,129.532839,10,,
0143 Bed Apartment with Swimming Pool at Riara Rd3,13500000,Lavington,3.0,3.0,120,2026-05-26,2026-05-26,129.532839,10,,
0122 Bed Apartment with En Suite at Kileleshwa2 Be,8500000,2 bedroom apartment for sale in Westlands,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
1 Bed Apartment with En Suite at Mvuli Road1 Bed A,6200000,"Westlands Area, Westlands",1.0,1.0,55,2026-05-26,2026-05-26,129.532839,10,,
3 Bed Apartment with Swimming Pool at Off Nyangumi,18500000,Kilimani,3.0,3.0,163,2026-05-26,2026-05-26,129.532839,10,,
1 Bed Apartment with Swimming Pool at Mogotio Rd1 ,7800000,"Westlands Area, Westlands",1.0,1.0,78,2026-05-26,2026-05-26,129.532839,10,,
014Serviced 3 Bed Apartment with En Suite in Brook,24000000,"Brookside, Westlands",3.0,3.0,,2026-05-26,2026-05-26,129.532839,10,,
0Today54 Bed Apartment with En Suite in General Ma,68000000,"General Mathenge, Westlands",4.0,4.0,,2026-05-26,2026-05-26,129.532839,10,,
0Yesterday101 Bed Apartment with En Suite in Kilim,4500000,Kilimani,1.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0Today103 Bed Apartment with En Suite in Lavington,15000000,Lavington,3.0,4.0,,2026-05-26,2026-05-26,129.532839,10,,
0Today54 Bed Apartment with En Suite in Lower Kabe,68000000,"Lower Kabete, Westlands",4.0,4.0,,2026-05-26,2026-05-26,129.532839,10,,
0Today133 Bed Apartment with En Suite in Kileleshw,9000000,Kileleshwa,3.0,4.0,,2026-05-26,2026-05-26,129.532839,10,,
02 days ago132 Bed Apartment with En Suite in Kile,6000000,Kileleshwa,2.0,3.0,,2026-05-26,2026-05-26,129.532839,10,,
0Yesterday61 Bed Apartment with En Suite in Westla,7000000,"Westlands Area, Westlands",1.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0Today54 Bed Apartment with En Suite in Spring Val,68000000,"Spring Valley, Westlands",4.0,4.0,,2026-05-26,2026-05-26,129.532839,10,,
0173 Bed Apartment in Parklands3 Bed Apartment in ,40000000,"Parklands, Westlands",3.0,,,2026-05-26,2026-05-26,129.532839,10,,
04 days ago94 Bed Apartment with En Suite in Westl,18000000,"Westlands Area, Westlands",4.0,4.0,,2026-05-26,2026-05-26,129.532839,10,,
0Yesterday162 Bed Apartment with En Suite in Westl,7000000,"Westlands Area, Westlands",2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0Today54 Bed Apartment with En Suite in Westlands ,68000000,"Westlands Area, Westlands",4.0,4.0,,2026-05-26,2026-05-26,129.532839,10,,
017Serviced Studio Apartment with En Suite at Riru,2400000,Nairobi,,1.0,23,2026-05-26,2026-05-26,129.532839,10,,
0Today154 Bed Apartment with En Suite in Westlands,18000000,"Westlands Area, Westlands",4.0,4.0,,2026-05-26,2026-05-26,129.532839,10,,
012 Bed Apartment with En Suite in Lower Kabete2 B,6000000,2 bedroom apartment for sale in Lavington,2.0,1.0,50,2026-05-26,2026-05-26,129.532839,10,,
081 Bed Apartment with Borehole at Sore Road1 Bed ,5450000,South B,1.0,1.0,50,2026-05-26,2026-05-26,129.532839,10,,
022Studio Apartment with Swimming Pool at Wood Ave,4800000,Kilimani,,1.0,50,2026-05-26,2026-05-26,129.532839,10,,
0Today16Serviced 1 Bed Apartment with Swimming Poo,10320000,Serviced Apartments For Sale in Westlands,1.0,,,2026-05-26,2026-05-26,129.532839,10,,
073 Bed Apartment with En Suite at Nyeri Road3 Bed,10000000,3 bedroom apartment for sale in Lavington,3.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0145 Bed Apartment with En Suite at Church Road5 B,35000000,"Westlands Area, Westlands",5.0,4.0,,2026-05-26,2026-05-26,129.532839,10,,
0Today72 Bed Apartment with En Suite in Lavington2,8000000,Lavington,2.0,3.0,,2026-05-26,2026-05-26,129.532839,10,,
0Today181 Bed Apartment with En Suite in Kilimani1,5500000,Kilimani,1.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0Today192 Bed Apartment with En Suite in Kilimani2,7000000,Kilimani,2.0,3.0,,2026-05-26,2026-05-26,129.532839,10,,
0Yesterday152 Bed Apartment with En Suite in Westl,10500000,"Westlands Area, Westlands",2.0,3.0,,2026-05-26,2026-05-26,129.532839,10,,
Serviced Studio Apartment with En Suite at RirutaS,2400000,Nairobi,,1.0,23,2026-05-26,2026-05-26,129.532839,10,,
Serviced 3 Bed Apartment with En Suite in Brooksid,24000000,"Brookside, Westlands",3.0,3.0,,2026-05-26,2026-05-26,129.532839,10,,
0Today144 Bed Apartment with En Suite in Kilimani4,13000000,Kilimani,4.0,4.0,,2026-05-26,2026-05-26,129.532839,10,,
0Today191 Bed Apartment with En Suite in Westlands,6800000,"Westlands Area, Westlands",1.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
Serviced 1 Bed Apartment with En Suite at Kilelesh,6800000,INSIDE Apartments for Sale in Kileleshwa,1.0,2.0,66,2026-05-26,2026-05-26,129.532839,10,,
05Serviced 1 Bed Apartment with En Suite at Kilele,6800000,INSIDE Apartments for Sale in Kileleshwa,1.0,2.0,66,2026-05-26,2026-05-26,129.532839,10,,
0163 Bed Apartment with En Suite at Kileleshwa Are,13000000,3 bedroom apartment for sale in Kileleshwa,3.0,3.0,180,2026-05-26,2026-05-26,129.532839,10,,
0183 Bed Apartment with En Suite at Kileleshwa Are,12500000,3 bedroom apartment for sale in Kileleshwa,3.0,3.0,190,2026-05-26,2026-05-26,129.532839,10,,
072 Bed Apartment with En Suite in Riverside2 Bed ,13000000,"Riverside, Westlands",2.0,3.0,,2026-05-26,2026-05-26,129.532839,10,,
081 Bed Apartment with Swimming Pool at Riverside ,6800000,"1 bedroom apartment for sale in Westlands, Rive...",1.0,1.0,,2026-05-26,2026-05-26,129.532839,10,,
2122 Bed Apartment with En Suite in Riverside2 Bed,18000000,"Riverside, Westlands",2.0,3.0,,2026-05-26,2026-05-26,129.532839,10,,
0202 Bed Apartment with En Suite in Riverside2 Bed,11000000,"Riverside, Westlands",2.0,3.0,,2026-05-26,2026-05-26,129.532839,10,,
0133 Bed Apartment with En Suite in Lavington3 Bed,10500000,Lavington,3.0,3.0,,2026-05-26,2026-05-26,129.532839,10,,
0184 Bed Apartment with En Suite at Riverside Driv,58000000,"Riverside, Westlands",4.0,4.0,,2026-05-26,2026-05-26,129.532839,10,,
0134 Bed Apartment with En Suite in Lavington4 Bed,20000000,Lavington,4.0,5.0,,2026-05-26,2026-05-26,129.532839,10,,
0Today121 Bed Apartment with En Suite in Westlands,5700000,"Westlands Area, Westlands",1.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
013Serviced 2 Bed Apartment with En Suite at Wood ,8200000,Kilimani,2.0,2.0,92,2026-05-26,2026-05-26,129.532839,10,,
0Today203 Bed Apartment with En Suite at Tebere Cr,29000000,Kileleshwa,3.0,5.0,,2026-05-26,2026-05-26,129.532839,10,,
0Yesterday153 Bed Apartment with En Suite at Off C,22000000,"Westlands Area, Westlands",3.0,4.0,240,2026-05-26,2026-05-26,129.532839,10,,
04 days ago124 Bed Apartment with En Suite in West,18000000,"Westlands Area, Westlands",4.0,4.0,,2026-05-26,2026-05-26,129.532839,10,,
0Today82 Bed Apartment with En Suite in Kileleshwa,6000000,Kileleshwa,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0Today71 Bed Apartment with En Suite in Riverside1,8300000,"Riverside, Westlands",1.0,1.0,62,2026-05-26,2026-05-26,129.532839,10,,
0203 Bed Apartment with En Suite at 2Nd Parklands3,38000000,"Parklands, Westlands",32.0,3.0,,2026-05-26,2026-05-26,129.532839,10,,
0Today92 Bed Apartment with En Suite in Lavington2,8000000,Lavington,2.0,3.0,,2026-05-26,2026-05-26,129.532839,10,,
0Today52 Bed Apartment with En Suite in Lavington2,8500000,Lavington,2.0,3.0,,2026-05-26,2026-05-26,129.532839,10,,
061 Bed Apartment with Swimming Pool in Kitisuru1 ,4500000,"Kitisuru, Westlands",1.0,1.0,43,2026-05-26,2026-05-26,129.532839,10,,
0Today141 Bed Apartment with En Suite in Lavington,4000000,Lavington,1.0,1.0,,2026-05-26,2026-05-26,129.532839,10,,
0Today63 Bed Apartment with En Suite in Kilimani3 ,11000000,Kilimani,3.0,4.0,,2026-05-26,2026-05-26,129.532839,10,,
0Today20Furnished 3 Bed Apartment with En Suite at,30000000,Kileleshwa,3.0,5.0,,2026-05-26,2026-05-26,129.532839,10,,
074 Bed Apartment with Swimming Pool at 5Th Parkla,19500000,"Parklands, Westlands",45.0,,245,2026-05-26,2026-05-26,129.532839,10,,
0163 Bed Apartment with En Suite at Brookside Gard,11200000,3 bedroom apartment for sale in Westlands,3.0,3.0,,2026-05-26,2026-05-26,129.532839,10,,
0152 Bed Apartment with En Suite at Muthangari Dri,13140000,2 bedroom apartment for sale in Westlands,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0172 Bed Apartment with Swimming Pool at Tinderet ,12500000,"🌿 Luxury Apartments for Sale in Kileleshwa, Na...",2.0,2.0,110,2026-05-26,2026-05-26,129.532839,10,,
3 Bed Apartment with Swimming Pool at Kingara Road,13800000,Lavington,3.0,3.0,138,2026-05-26,2026-05-26,129.532839,10,,
0203 Bed Apartment with Swimming Pool at Kingara R,13800000,Lavington,3.0,3.0,138,2026-05-26,2026-05-26,129.532839,10,,
0201 Bed Apartment with Swimming Pool at Lavington,6300000,Lavington,1.0,1.0,,2026-05-26,2026-05-26,129.532839,10,,
091 Bed Apartment with Swimming Pool at Lavington1,7450000,Lavington,1.0,1.0,,2026-05-26,2026-05-26,129.532839,10,,
1 Bed Apartment with Swimming Pool at Lavington1 B,6950000,Lavington,1.0,1.0,,2026-05-26,2026-05-26,129.532839,10,,
071 Bed Apartment with Swimming Pool at Lavington1,6950000,Lavington,1.0,1.0,,2026-05-26,2026-05-26,129.532839,10,,
016Studio Apartment with Swimming Pool in Riversid,8300000,Studio Apartment with Swimming Pool in Riverside,,1.0,60,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with Swimming Pool at Off Nyeri Ro,18000000,Kileleshwa,2.0,2.0,145,2026-05-26,2026-05-26,129.532839,10,,
0202 Bed Apartment with Swimming Pool at Off Nyeri,18000000,Kileleshwa,2.0,2.0,145,2026-05-26,2026-05-26,129.532839,10,,
3 Bed Apartment with Swimming Pool at Tenderet Ave,17100000,"🌿 Luxury Apartments for Sale in Kileleshwa, Na...",3.0,3.0,150,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with Swimming Pool at Tinderet Ave,12500000,"🌿 Luxury Apartments for Sale in Kileleshwa, Na...",2.0,2.0,110,2026-05-26,2026-05-26,129.532839,10,,
0203 Bed Apartment with Swimming Pool at Tenderet ,17100000,"🌿 Luxury Apartments for Sale in Kileleshwa, Na...",3.0,3.0,150,2026-05-26,2026-05-26,129.532839,10,,
0202 Bed Apartment with Swimming Pool at Ndemi Roa,12000000,Kilimani,2.0,2.0,96,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with Swimming Pool at Arwings Kodh,9500000,Lavington,2.0,2.0,90,2026-05-26,2026-05-26,129.532839,10,,
0152 Bed Apartment with Swimming Pool at Arwings K,9500000,Lavington,2.0,2.0,90,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with Swimming Pool at Wangapala Ro,22000000,"🌇 Luxury Apartments for Sale in Parklands, Nai...",2.0,2.0,110,2026-05-26,2026-05-26,129.532839,10,,
0202 Bed Apartment with Swimming Pool at Wangapala,22000000,"🌇 Luxury Apartments for Sale in Parklands, Nai...",2.0,2.0,110,2026-05-26,2026-05-26,129.532839,10,,
0162 Bed Apartment with En Suite at Wood Avenue2 B,11900000,Kilimani,2.0,2.0,95,2026-05-26,2026-05-26,129.532839,10,,
0162 Bed Apartment with En Suite at Turbo Road2 Be,12000000,Kilimani,2.0,2.0,98,2026-05-26,2026-05-26,129.532839,10,,
0122 Bed Apartment with En Suite at Muthithi Road2,13000000,"Westlands Area, Westlands",2.0,2.0,101,2026-05-26,2026-05-26,129.532839,10,,
0162 Bed Apartment with En Suite at Othaya Road2 B,16000000,Kileleshwa,2.0,2.0,125,2026-05-26,2026-05-26,129.532839,10,,
3 Bed Apartment with Swimming Pool at Othaya Road3,27000000,Kileleshwa,3.0,3.0,208,2026-05-26,2026-05-26,129.532839,10,,
0173 Bed Apartment with Swimming Pool at Othaya Ro,27000000,Kileleshwa,3.0,3.0,208,2026-05-26,2026-05-26,129.532839,10,,
0151 Bed Apartment with Swimming Pool at Westlands,7230000,"Westlands Area, Westlands",1.0,1.0,,2026-05-26,2026-05-26,129.532839,10,,
0131 Bed Apartment with Swimming Pool at Wood Aven,8700000,Kilimani,1.0,1.0,68,2026-05-26,2026-05-26,129.532839,10,,
0191 Bed Apartment with Swimming Pool at Tinderet ,5500000,Kileleshwa,1.0,1.0,55,2026-05-26,2026-05-26,129.532839,10,,
0162 Bed Apartment with Swimming Pool at Westlands,12700000,"Westlands Area, Westlands",2.0,2.0,94,2026-05-26,2026-05-26,129.532839,10,,
019Studio Apartment with Swimming Pool at Tebere L,4700000,Kileleshwa,,1.0,43,2026-05-26,2026-05-26,129.532839,10,,
0202 Bed Apartment with En Suite at Westlands Road,6000000,2 bedroom apartment for sale in Lavington,2.0,1.0,88,2026-05-26,2026-05-26,129.532839,10,,
0122 Bed Apartment with En Suite at Westlands2 Bed,8900000,2 bedroom apartment for sale in Kilimani,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
1 Bed Apartment with Swimming Pool at Kileleshwa1 ,5800000,1 bedroom apartment for sale in Kilimani,1.0,1.0,,2026-05-26,2026-05-26,129.532839,10,,
081 Bed Apartment with Swimming Pool at Kileleshwa,5800000,1 bedroom apartment for sale in Kilimani,1.0,1.0,,2026-05-26,2026-05-26,129.532839,10,,
3 Bed Apartment with En Suite at St Michael'S Road,21200000,"Westlands Area, Westlands",3.0,4.0,130,2026-05-26,2026-05-26,129.532839,10,,
0203 Bed Apartment with En Suite at St Michael'S R,21200000,"Westlands Area, Westlands",3.0,4.0,130,2026-05-26,2026-05-26,129.532839,10,,
4 Bed Apartment with En Suite at St Michael'S Road,23300000,"Westlands Area, Westlands",4.0,4.0,242,2026-05-26,2026-05-26,129.532839,10,,
0204 Bed Apartment with En Suite at St Michael'S R,23300000,"Westlands Area, Westlands",4.0,4.0,242,2026-05-26,2026-05-26,129.532839,10,,
015Furnished 3 Bed Apartment with En Suite in Kili,14900000,Kilimani,3.0,4.0,135,2026-05-26,2026-05-26,129.532839,10,,
Serviced 2 Bed Apartment with En Suite at Kirichwa,16000000,Kilimani,2.0,2.0,110,2026-05-26,2026-05-26,129.532839,10,,
0132 Bed Apartment with Swimming Pool at Lantana R,10600000,"Westlands Area, Westlands",2.0,2.0,95,2026-05-26,2026-05-26,129.532839,10,,
011Serviced 2 Bed Apartment with En Suite at Kiric,16000000,Kilimani,2.0,2.0,110,2026-05-26,2026-05-26,129.532839,10,,
0172 Bed Apartment with Swimming Pool at Mogotio R,12000000,"Westlands Area, Westlands",2.0,2.0,89,2026-05-26,2026-05-26,129.532839,10,,
0122 Bed Apartment with Swimming Pool at Mogotio R,12500000,"Westlands Area, Westlands",2.0,2.0,95,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with Swimming Pool at Matundu Clos,16000000,"Westlands Area, Westlands",2.0,2.0,129,2026-05-26,2026-05-26,129.532839,10,,
0102 Bed Apartment with Swimming Pool at Matundu C,3000000,1 bedroom apartment for sale in Kilimani,1.0,1.0,55,2026-05-26,2026-05-26,129.532839,10,,
0151 Bed Apartment with Swimming Pool at Riara Roa,6950000,"Westlands Area, Westlands",1.0,1.0,60,2026-05-26,2026-05-26,129.532839,10,,
3 Bed Apartment with En Suite at Mtito Andei Road3,13800000,Kilimani,3.0,3.0,140,2026-05-26,2026-05-26,129.532839,10,,
0203 Bed Apartment with En Suite at Mtito Andei Ro,13800000,Kilimani,3.0,3.0,140,2026-05-26,2026-05-26,129.532839,10,,
1 Bed Apartment with Gym at Westlands Road1 Bed Ap,5500000,"Westlands Area, Westlands",1.0,1.0,52,2026-05-26,2026-05-26,129.532839,10,,
0201 Bed Apartment with Gym at Westlands Road1 Bed,5500000,"Westlands Area, Westlands",1.0,1.0,52,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with En Suite at Westlands Rd2 Bed,7500000,"Westlands Area, Westlands",2.0,2.0,80,2026-05-26,2026-05-26,129.532839,10,,
0202 Bed Apartment with En Suite at Westlands Rd2 ,7500000,"Westlands Area, Westlands",2.0,2.0,80,2026-05-26,2026-05-26,129.532839,10,,
012Studio Apartment with Swimming Pool at Lower Ka,1850000,"Lower Kabete, Westlands",,1.0,46,2026-05-26,2026-05-26,129.532839,10,,
0132 Bed Apartment with Swimming Pool at Westlands,14000000,"Westlands Area, Westlands",2.0,2.0,115,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with Gym in Riverside2 Bed Apartme,100000,"Riverside, Westlands",2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0142 Bed Apartment with Gym in Riverside2 Bed Apar,100000,"Riverside, Westlands",2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0122 Bed Apartment with En Suite at Riara Road2 Be,13500000,2 bedroom apartment for sale in Lavington,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
2 Bed Apartment with Swimming Pool at Upper Hill2 ,10900000,Kilimani,2.0,2.0,113,2026-05-26,2026-05-26,129.532839,10,,
0122 Bed Apartment with Swimming Pool at Upper Hil,10900000,Kilimani,2.0,2.0,113,2026-05-26,2026-05-26,129.532839,10,,
0112 Bed Apartment with En Suite at Lavington2 Bed,13950000,2 bedroom apartment for sale in Lavington,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0152 Bed Apartment with Swimming Pool at Mbaazi Ro,10600000,Lavington,2.0,2.0,85,2026-05-26,2026-05-26,129.532839,10,,
0142 Bed Apartment with En Suite at Lavington2 Bed,14560000,2 bedroom apartment for sale in Lavington,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0201 Bed Apartment with Swimming Pool at Nyeri Rd1,9000000,Kileleshwa,1.0,1.0,90,2026-05-26,2026-05-26,129.532839,10,,
0152 Bed Apartment with En Suite at Lavington2 Bed,15600000,2 bedroom apartment for sale in Lavington,2.0,2.0,,2026-05-26,2026-05-26,129.532839,10,,
0122 Bed Apartment with Swimming Pool at Nyeri Rd2,11000000,Kileleshwa,2.0,2.0,130,2026-05-26,2026-05-26,129.532839,10,,
0124 Bed Apartment with En Suite at Kindaruma Road,19800000,Kilimani,4.0,4.0,240,2026-05-26,2026-05-26,129.532839,10,,
0173 Bed Apartment with Swimming Pool at Riara Roa,22000000,Lavington,3.0,3.0,184,2026-05-26,2026-05-26,129.532839,10,,
0172 Bed Apartment with Swimming Pool at Kilimani ,10100000,Kilimani,2.0,2.0,99,2026-05-26,2026-05-26,129.532839,10,,
0162 Bed Apartment in Lavington2 Bed Apartment in ,11500000,Lavington,2.0,,,2026-05-26,2026-05-26,129.532839,10,,
04Studio Apartment with En Suite in KileleshwaStud,4900000,Studio Apartment with En Suite in Kileleshwa,,1.0,,2026-05-26,2026-05-26,129.532839,10,,
0151 Bed Apartment with En Suite at Wood Avenue1 B,6900000,Kilimani,1.0,1.0,70,2026-05-26,2026-05-26,129.532839,10,,
1 Bed Apartment with En Suite at Off Wayaki Road1 ,6000000,"Westlands Area, Westlands",1.0,1.0,54,2026-05-26,2026-05-26,129.532839,10,,
0111 Bed Apartment with En Suite at Off Wayaki Roa,6000000,2 bedroom apartment for sale in Kilimani,2.0,1.0,53,2026-05-26,2026-05-26,129.532839,10,,
0131 Bed Apartment with En Suite at Sports Road1 B,9000000,"Westlands Area, Westlands",1.0,1.0,67,2026-05-26,2026-05-26,129.532839,10,,
